"BORROWER_ID","CONTRACT_NO","PAYMENT_DATE","PAID_AMOUNT","PAYMENT_STATUS"
"STK2358344","AGMBA005042",25-03-17,7000,"A"
"STK2358344","AGMBA005042",25-04-17,7000,"A"
"STK2358344","AGMBA005042",29-01-18,6683.44,"A"
"STK2358344","AGMBA005042",21-03-18,9780.63,"A"
"STK2358344","AGMBA005042",16-07-18,7000,"A"
"STK2358344","AGMBA005042",12-07-19,7000,"A"
"STK1360709","AGMBA005066",25-09-18,18289.21,"A"
"STK1360709","AGMBA005066",23-08-18,7328.74,"A"
"STK2358344","AGMBA005042",20-09-17,7000,"A"
"STK2358344","AGMBA005042",25-01-17,6989,"A"
"STK2358344","AGMBA005042",24-05-17,7000,"A"
"STK2358344","AGMBA005042",26-06-17,7000,"A"
"STK2358344","AGMBA005042",27-02-17,7000,"A"
"STK2358344","AGMBA005042",14-11-18,6990.17,"A"
"STK2358344","AGMBA005042",25-08-17,7000,"A"
"STK2358344","AGMBA005042",21-07-17,7000,"A"
"STK2358344","AGMBA005042",27-11-17,7000,"A"
"STK2358344","AGMBA005042",20-02-18,6056.73,"A"
"STK2358344","AGMBA005042",20-10-17,7000,"A"
"STK2358344","AGMBA005042",12-06-18,7000,"A"
"STK2358344","AGMBA005042",16-05-18,7970.6,"A"
"STK2358344","AGMBA005042",25-04-18,9826.5,"A"
"STK2358344","AGMBA005042",13-08-18,7000,"A"
"STK2358344","AGMBA005042",14-05-19,7000,"A"
"STK2358344","AGMBA005042",11-09-18,6600,"A"
"STK2358344","AGMBA005042",11-09-19,6000,"A"
"STK2358344","AGMBA005042",15-10-18,6500,"A"
"STK2358344","AGMBA005042",13-11-19,6994.12,"A"
"STK2358344","AGMBA005042",12-08-19,7000,"A"
"STK2358344","AGMBA005042",11-04-19,7000,"A"
"STK2358344","AGMBA005042",11-12-18,3500,"A"
"STK2358344","AGMBA005042",11-12-18,6994.06,"A"
"STK2358344","AGMBA005042",12-06-19,7000,"A"
"STK2358344","AGMBA005042",11-02-19,6931.81,"A"
"STK2358344","AGMBA005042",14-01-19,574.49,"A"
"STK2358344","AGMBA005042",11-03-19,9944.43,"A"
"STK2358344","AGMBA005042",11-10-19,6993.1,"A"
"STK2358344","AGMBA005042",13-12-19,7034.92,"A"
"STK1360709","AGMBA005066",26-02-20,0,"A"
"STK1360709","AGMBA005066",28-12-19,14892.87,"A"
"STK1360709","AGMBA005066",06-02-17,8800,"A"
"STK1360709","AGMBA005066",03-06-20,17094.41,"A"
"STK1360709","AGMBA005066",13-07-17,7407.7,"A"
"STK1360709","AGMBA005066",03-04-17,8795,"A"
"STK1360709","AGMBA005066",29-09-17,19971.84,"A"
"STK1360709","AGMBA005066",12-05-17,8706.33,"A"
"STK1360709","AGMBA005066",03-03-17,8800,"A"
"STK1360709","AGMBA005066",08-08-17,6885.93,"A"
"STK1360709","AGMBA005066",18-12-17,7389.12,"A"
"STK1360709","AGMBA005066",20-02-18,8792.49,"A"
"STK1360709","AGMBA005066",15-11-17,6413.4,"A"
"STK1360709","AGMBA005066",18-01-18,22363.41,"A"
"STK1360709","AGMBA005066",05-06-18,15655.18,"A"
"STK1360709","AGMBA005066",27-04-18,0,"A"
"STK1360709","AGMBA005066",23-07-18,12666.44,"A"
"STK1360709","AGMBA005066",27-12-18,9535.05,"A"
"STK1360709","AGMBA005066",24-04-19,19564.32,"A"
"STK1360709","AGMBA005066",25-10-19,12575.28,"A"
"STK1360709","AGMBA005066",28-11-18,12700.52,"A"
"STK1360709","AGMBA005066",24-06-19,16413.05,"A"
"STK1360709","AGMBA005066",12-08-19,31358.26,"A"
"STK1360709","AGMBA005066",16-04-19,6090.37,"A"
"STK2366550","AGMBA005103",13-02-17,6389,"A"
"STK2366550","AGMBA005103",03-04-17,1089.85,"A"
"STK2366550","AGMBA005103",12-04-17,8000,"A"
"STK2366550","AGMBA005103",01-11-17,7608.64,"A"
"STK2366550","AGMBA005103",11-04-18,0,"A"
"STK2366550","AGMBA005103",28-03-18,7005,"A"
"STK2371129","AGMBA005257",17-03-17,6200,"A"
"STK2371129","AGMBA005257",19-09-18,5930.54,"A"
"STK2371129","AGMBA005257",08-05-19,4588.26,"A"
"STK2371129","AGMBA005257",14-03-19,6830.19,"A"
"STK2366550","AGMBA005103",29-09-17,7738.66,"A"
"STK2366550","AGMBA005103",27-03-17,7893.45,"A"
"STK2366550","AGMBA005103",29-05-17,7441.06,"A"
"STK2366550","AGMBA005103",23-06-17,7700,"A"
"STK2366550","AGMBA005103",28-08-17,7680,"A"
"STK2366550","AGMBA005103",26-12-17,7700,"A"
"STK2366550","AGMBA005103",31-07-17,7618.97,"A"
"STK2366550","AGMBA005103",30-11-17,7728.23,"A"
"STK2366550","AGMBA005103",23-02-18,8000,"A"
"STK2366550","AGMBA005103",25-01-18,8000,"A"
"STK2366550","AGMBA005103",30-05-18,6901.06,"A"
"STK2366550","AGMBA005103",21-06-18,8611.62,"A"
"STK2366550","AGMBA005103",28-07-18,7586.73,"A"
"STK2366550","AGMBA005103",21-09-18,8000,"A"
"STK2366550","AGMBA005103",21-09-18,-7763.33,"A"
"STK2366550","AGMBA005103",21-09-18,-8000,"A"
"STK2366550","AGMBA005103",21-09-18,7763.33,"A"
"STK2366550","AGMBA005103",21-09-18,7763.33,"A"
"STK2366550","AGMBA005103",29-08-18,7602.49,"A"
"STK2366550","AGMBA005103",23-10-18,7684.05,"A"
"STK2366550","AGMBA005103",24-12-18,7191.4,"A"
"STK2366550","AGMBA005103",30-01-19,8867.93,"A"
"STK2366550","AGMBA005103",26-11-18,7612.54,"A"
"STK2366550","AGMBA005103",23-02-19,7025.99,"A"
"STK2371129","AGMBA005257",20-01-20,1585.97,"A"
"STK2371129","AGMBA005257",31-01-20,9782.31,"A"
"STK2371129","AGMBA005257",06-03-20,5063.05,"A"
"STK2371129","AGMBA005257",15-02-17,6220,"A"
"STK2371129","AGMBA005257",17-04-17,6200,"A"
"STK2371129","AGMBA005257",03-10-17,6304.07,"A"
"STK2371129","AGMBA005257",22-05-17,5933.91,"A"
"STK2371129","AGMBA005257",23-06-17,5906.1,"A"
"STK2371129","AGMBA005257",31-07-17,6022.64,"A"
"STK2371129","AGMBA005257",21-08-17,6413.05,"A"
"STK2371129","AGMBA005257",19-11-18,5571.04,"A"
"STK2371129","AGMBA005257",04-12-17,5789.95,"A"
"STK2371129","AGMBA005257",31-10-17,5834.9,"A"
"STK2371129","AGMBA005257",13-02-18,6179.77,"A"
"STK2371129","AGMBA005257",13-01-18,5878.83,"A"
"STK2371129","AGMBA005257",26-05-18,5067.85,"A"
"STK2371129","AGMBA005257",14-03-18,6191.29,"A"
"STK2371129","AGMBA005257",12-04-18,0,"A"
"STK2371129","AGMBA005257",24-04-18,5910.54,"A"
"STK2371129","AGMBA005257",20-07-18,5264.32,"A"
"STK2371129","AGMBA005257",22-06-18,5294.01,"A"
"STK2371129","AGMBA005257",09-09-19,2658.49,"A"
"STK2371129","AGMBA005257",14-08-18,6432.98,"A"
"STK2371129","AGMBA005257",18-10-18,5839.16,"A"
"STK2371129","AGMBA005257",31-12-18,5207.32,"A"
"STK2371129","AGMBA005257",13-12-18,6112.64,"A"
"STK2371129","AGMBA005257",13-02-19,8743.8,"A"
"STK2371129","AGMBA005257",16-01-19,6326.07,"A"
"STK2371129","AGMBA005257",06-06-19,4836.95,"A"
"STK2373234","AGMBA005318",07-02-20,16788.17,"A"
"STK2373234","AGMBA005318",03-01-20,10000,"A"
"STK2373234","AGMBA005318",12-05-17,13450,"A"
"STK2373234","AGMBA005318",16-02-17,13449.44,"A"
"STK2373234","AGMBA005318",31-07-18,13440,"A"
"STK2374409","AGMBA005363",31-01-20,2000,"A"
"STK2374409","AGMBA005363",14-06-17,3960.6,"A"
"STK2375395","AGMBA005370",15-06-17,10000,"A"
"STK2375395","AGMBA005370",16-02-18,10000,"A"
"STK2373234","AGMBA005318",16-03-17,13450,"A"
"STK2373234","AGMBA005318",12-07-17,13500,"A"
"STK2373234","AGMBA005318",12-06-17,13500,"A"
"STK2373234","AGMBA005318",13-09-17,13500,"A"
"STK2373234","AGMBA005318",07-11-18,13440,"A"
"STK2373234","AGMBA005318",07-04-17,13450,"A"
"STK2373234","AGMBA005318",14-08-17,13400,"A"
"STK2373234","AGMBA005318",15-12-17,13500,"A"
"STK2373234","AGMBA005318",16-11-17,13500,"A"
"STK2373234","AGMBA005318",12-01-18,18500,"A"
"STK2373234","AGMBA005318",14-02-18,21500,"A"
"STK2373234","AGMBA005318",16-10-17,13500,"A"
"STK2373234","AGMBA005318",11-06-18,13440,"A"
"STK2373234","AGMBA005318",18-06-18,4018,"A"
"STK2373234","AGMBA005318",12-04-18,13500,"A"
"STK2373234","AGMBA005318",12-03-18,373.69,"A"
"STK2373234","AGMBA005318",08-05-18,13440,"A"
"STK2373234","AGMBA005318",20-09-18,3037,"A"
"STK2373234","AGMBA005318",02-07-18,8950,"A"
"STK2373234","AGMBA005318",04-01-19,13450,"A"
"STK2373234","AGMBA005318",04-10-18,10381.87,"A"
"STK2373234","AGMBA005318",04-10-18,13439,"A"
"STK2373234","AGMBA005318",01-07-19,13450,"A"
"STK2373234","AGMBA005318",06-05-19,13749.15,"A"
"STK2373234","AGMBA005318",02-09-19,13450,"A"
"STK2373234","AGMBA005318",06-02-19,13500,"A"
"STK2373234","AGMBA005318",01-11-19,13450,"A"
"STK2373234","AGMBA005318",03-12-18,13440,"A"
"STK2373234","AGMBA005318",02-08-19,13450,"A"
"STK2373234","AGMBA005318",04-04-19,13367.68,"A"
"STK2373234","AGMBA005318",07-03-19,0,"A"
"STK2373234","AGMBA005318",03-06-19,13150,"A"
"STK2373234","AGMBA005318",02-12-19,13450,"A"
"STK2373234","AGMBA005318",03-10-19,13450,"A"
"STK2374409","AGMBA005363",27-05-20,500,"A"
"STK2374409","AGMBA005363",28-02-20,2000,"A"
"STK2374409","AGMBA005363",12-06-17,8140.07,"A"
"STK2374409","AGMBA005363",03-07-17,3883.36,"A"
"STK2374409","AGMBA005363",20-02-17,7650,"A"
"STK2374409","AGMBA005363",23-05-18,80000,"A"
"STK2374409","AGMBA005363",19-05-18,20265,"A"
"STK2374409","AGMBA005363",30-03-19,3467.1,"A"
"STK2374409","AGMBA005363",26-12-19,2000,"A"
"STK2375395","AGMBA005370",09-02-17,10000,"A"
"STK2375395","AGMBA005370",20-03-17,10000,"A"
"STK2375395","AGMBA005370",15-07-17,10000,"A"
"STK2375395","AGMBA005370",18-05-17,10000,"A"
"STK2375395","AGMBA005370",15-09-17,10000,"A"
"STK2375395","AGMBA005370",05-04-17,10000,"A"
"STK2375395","AGMBA005370",11-08-17,10000,"A"
"STK2375395","AGMBA005370",18-12-17,10000,"A"
"STK2375395","AGMBA005370",10-11-18,10000,"A"
"STK2375395","AGMBA005370",21-11-17,5200,"A"
"STK2375395","AGMBA005370",21-05-18,9716.77,"A"
"STK2384920","AGMBA005561",19-04-17,6500,"A"
"STK2384920","AGMBA005561",28-08-17,6500,"A"
"STK2384920","AGMBA005561",15-11-17,6518.77,"A"
"STK2385652","AGMBA005585",29-09-17,7800,"A"
"STK2385652","AGMBA005585",23-10-18,9589.91,"A"
"STK2380829","AGMBA005592",26-04-17,8300,"A"
"STK2380829","AGMBA005592",28-09-17,8300,"A"
"STK2380829","AGMBA005592",27-10-17,8500,"A"
"STK2380829","AGMBA005592",01-08-18,8392.36,"A"
"STK2375395","AGMBA005370",20-10-17,10000,"A"
"STK2375395","AGMBA005370",20-01-18,15000,"A"
"STK2375395","AGMBA005370",21-03-18,5000,"A"
"STK2375395","AGMBA005370",24-04-18,1129.78,"A"
"STK2375395","AGMBA005370",12-06-18,1960,"A"
"STK2375395","AGMBA005370",12-06-18,13816.52,"A"
"STK2375395","AGMBA005370",19-07-18,10000,"A"
"STK2375395","AGMBA005370",29-10-18,9881.54,"A"
"STK2375395","AGMBA005370",10-09-18,10000,"A"
"STK2375395","AGMBA005370",20-08-18,10000,"A"
"STK2375395","AGMBA005370",12-12-18,7250,"A"
"STK2375395","AGMBA005370",11-01-19,9501.39,"A"
"STK2384920","AGMBA005561",21-03-17,6500,"A"
"STK2384920","AGMBA005561",25-05-17,6500,"A"
"STK2384920","AGMBA005561",18-07-17,12804.03,"A"
"STK2384920","AGMBA005561",18-07-17,100,"A"
"STK2384920","AGMBA005561",23-02-17,6499.17,"A"
"STK2384920","AGMBA005561",15-12-17,153247.48,"A"
"STK2384920","AGMBA005561",06-10-17,6425.83,"A"
"STK2385652","AGMBA005585",01-01-20,13247.33,"A"
"STK2385652","AGMBA005585",25-04-17,7720,"A"
"STK2385652","AGMBA005585",31-03-17,7688.72,"A"
"STK2385652","AGMBA005585",28-06-17,7750,"A"
"STK2385652","AGMBA005585",23-05-17,7800,"A"
"STK2385652","AGMBA005585",27-02-17,7800,"A"
"STK2385652","AGMBA005585",26-08-17,7800,"A"
"STK2385652","AGMBA005585",27-12-17,7600,"A"
"STK2385652","AGMBA005585",08-08-17,7607.75,"A"
"STK2385652","AGMBA005585",08-12-17,7668.34,"A"
"STK2385652","AGMBA005585",31-10-17,7739.17,"A"
"STK2385652","AGMBA005585",29-01-18,7795.97,"A"
"STK2385652","AGMBA005585",22-03-18,7742.73,"A"
"STK2385652","AGMBA005585",12-04-18,7714.98,"A"
"STK2385652","AGMBA005585",16-05-18,7783.72,"A"
"STK2385652","AGMBA005585",03-08-18,21397.28,"A"
"STK2385652","AGMBA005585",02-07-18,55.86,"A"
"STK2385652","AGMBA005585",29-08-18,7890.47,"A"
"STK2385652","AGMBA005585",20-12-18,7753.26,"A"
"STK2385652","AGMBA005585",11-07-19,7735.66,"A"
"STK2385652","AGMBA005585",26-08-19,7150.78,"A"
"STK2385652","AGMBA005585",26-10-19,9148.92,"A"
"STK2385652","AGMBA005585",29-04-19,14563.45,"A"
"STK2385652","AGMBA005585",21-11-19,7771.98,"A"
"STK2385652","AGMBA005585",23-11-18,7714.37,"A"
"STK2385652","AGMBA005585",22-02-19,7500.02,"A"
"STK2385652","AGMBA005585",20-02-19,201.31,"A"
"STK2385652","AGMBA005585",23-01-19,7414.66,"A"
"STK2385652","AGMBA005585",25-03-19,7201.33,"A"
"STK2385652","AGMBA005585",27-05-19,9171.15,"A"
"STK2385652","AGMBA005585",25-09-19,8013.49,"A"
"STK2385652","AGMBA005585",24-12-19,8747.39,"A"
"STK2380829","AGMBA005592",20-02-20,5557.26,"A"
"STK2380829","AGMBA005592",14-01-20,7317.84,"A"
"STK2380829","AGMBA005592",24-03-17,8300,"A"
"STK2380829","AGMBA005592",01-06-17,8224.56,"A"
"STK2380829","AGMBA005592",03-07-17,8213.7,"A"
"STK2380829","AGMBA005592",25-02-17,8250,"A"
"STK2380829","AGMBA005592",29-08-17,8300,"A"
"STK2380829","AGMBA005592",27-07-17,8350,"A"
"STK2380829","AGMBA005592",04-12-17,8108.91,"A"
"STK2380829","AGMBA005592",29-12-17,8200,"A"
"STK2380829","AGMBA005592",02-02-18,8117.35,"A"
"STK2380829","AGMBA005592",27-03-18,9969.77,"A"
"STK2380829","AGMBA005592",31-05-18,10046.68,"A"
"STK2380829","AGMBA005592",28-02-18,433.17,"A"
"STK2380829","AGMBA005592",27-04-18,10031.77,"A"
"STK2380829","AGMBA005592",29-06-18,9864.53,"A"
"STK2365236","ALMBA003734",05-07-17,7946.99,"A"
"STK2365236","ALMBA003734",16-05-17,6988.78,"A"
"STK2365236","ALMBA003734",06-03-17,7000,"A"
"STK2365236","ALMBA003734",13-12-17,8924.67,"A"
"STK2365236","ALMBA003734",24-03-18,6939.52,"A"
"STK2365236","ALMBA003734",11-09-18,34726.38,"A"
"STK2370804","ALMBA003840",18-09-17,10520,"A"
"STK2370804","ALMBA003840",18-12-17,10520,"A"
"STK2370804","ALMBA003840",29-03-18,8970.75,"A"
"STK2370804","ALMBA003840",01-05-18,10441.69,"A"
"STK2370804","ALMBA003840",19-09-18,52594.31,"A"
"STK2370804","ALMBA003840",20-08-18,10436.55,"A"
"STK2243654","ALMBA003871",20-04-17,6000,"A"
"STK2243654","ALMBA003871",20-12-17,6000,"A"
"STK2243654","ALMBA003871",23-08-17,6000,"A"
"STK2243654","ALMBA003871",16-01-18,6000,"A"
"STK2243654","ALMBA003871",21-04-18,6000,"A"
"STK2380829","AGMBA005592",01-01-19,8272.64,"A"
"STK2380829","AGMBA005592",31-08-18,8411.44,"A"
"STK2380829","AGMBA005592",18-10-18,7829.28,"A"
"STK2380829","AGMBA005592",04-07-19,8121.42,"A"
"STK2380829","AGMBA005592",31-01-19,8135.3,"A"
"STK2380829","AGMBA005592",27-11-18,7566.17,"A"
"STK2380829","AGMBA005592",05-11-19,6858.02,"A"
"STK2380829","AGMBA005592",11-04-19,9504.28,"A"
"STK2380829","AGMBA005592",06-08-19,28192.83,"A"
"STK2380829","AGMBA005592",24-01-19,9522.5,"A"
"STK2380829","AGMBA005592",06-03-19,1976.28,"A"
"STK2365236","ALMBA003734",06-02-17,6962,"A"
"STK2365236","ALMBA003734",30-06-17,1760.01,"A"
"STK2365236","ALMBA003734",11-07-17,4466.58,"A"
"STK2365236","ALMBA003734",11-09-17,8637.57,"A"
"STK2365236","ALMBA003734",11-04-17,6935.38,"A"
"STK2365236","ALMBA003734",24-11-17,7769.2,"A"
"STK2365236","ALMBA003734",23-02-18,0,"A"
"STK2365236","ALMBA003734",04-06-18,13930,"A"
"STK2365236","ALMBA003734",12-04-18,10576.76,"A"
"STK2365236","ALMBA003734",08-03-18,3807.23,"A"
"STK2365236","ALMBA003734",16-05-18,22716.93,"A"
"STK2365236","ALMBA003734",01-08-18,7000,"A"
"STK2370804","ALMBA003840",15-02-17,10520,"A"
"STK2370804","ALMBA003840",15-03-17,10520,"A"
"STK2370804","ALMBA003840",17-04-17,10520,"A"
"STK2370804","ALMBA003840",20-07-17,10520,"A"
"STK2370804","ALMBA003840",13-05-17,10520,"A"
"STK2370804","ALMBA003840",15-06-17,10520,"A"
"STK2370804","ALMBA003840",17-08-17,10520,"A"
"STK2370804","ALMBA003840",20-11-17,20955.84,"A"
"STK2370804","ALMBA003840",16-10-17,10520,"A"
"STK2370804","ALMBA003840",15-06-18,15000,"A"
"STK2370804","ALMBA003840",14-03-18,10076.45,"A"
"STK2370804","ALMBA003840",07-03-18,2085.13,"A"
"STK2370804","ALMBA003840",09-05-18,10599.28,"A"
"STK2370804","ALMBA003840",12-07-18,6120,"A"
"STK2243654","ALMBA003871",13-07-17,6000,"A"
"STK2243654","ALMBA003871",29-09-17,5946.74,"A"
"STK2243654","ALMBA003871",22-03-17,6000,"A"
"STK2243654","ALMBA003871",20-05-17,6000,"A"
"STK2243654","ALMBA003871",23-06-17,6000,"A"
"STK2243654","ALMBA003871",23-02-17,5903.58,"A"
"STK2243654","ALMBA003871",19-11-18,5860,"A"
"STK2243654","ALMBA003871",23-11-17,6000,"A"
"STK2243654","ALMBA003871",20-02-18,0,"A"
"STK2243654","ALMBA003871",20-10-17,6000,"A"
"STK2243654","ALMBA003871",20-07-18,6000,"A"
"STK1332715","AMMBA007237",16-08-17,6500,"A"
"STK1332715","AMMBA007237",19-03-18,5777.94,"A"
"STK1332715","AMMBA007237",06-12-18,6988.42,"A"
"STK2381986","AMMBA007336",28-06-17,10000,"A"
"STK2381986","AMMBA007336",26-12-17,8000,"A"
"STK2381986","AMMBA007336",18-08-17,8000,"A"
"STK2381986","AMMBA007336",24-03-18,8000,"A"
"STK2381986","AMMBA007336",28-07-18,10000,"A"
"STK2243654","ALMBA003871",22-05-18,6000,"A"
"STK2243654","ALMBA003871",20-06-18,5870,"A"
"STK2243654","ALMBA003871",20-03-18,5862,"A"
"STK2243654","ALMBA003871",07-03-18,4355.74,"A"
"STK2243654","ALMBA003871",06-03-18,0,"A"
"STK2243654","ALMBA003871",20-09-18,5600,"A"
"STK2243654","ALMBA003871",21-12-18,5830,"A"
"STK2243654","ALMBA003871",20-08-18,5800,"A"
"STK2243654","ALMBA003871",16-10-18,5800,"A"
"STK2243654","ALMBA003871",25-01-19,5859.94,"A"
"STK1332715","AMMBA007237",23-12-19,5951.27,"A"
"STK1332715","AMMBA007237",09-01-20,6515.33,"A"
"STK1332715","AMMBA007237",31-01-17,30000,"A"
"STK1332715","AMMBA007237",18-09-17,6500,"A"
"STK1332715","AMMBA007237",14-06-17,10000,"A"
"STK1332715","AMMBA007237",14-12-17,6346.93,"A"
"STK1332715","AMMBA007237",20-02-18,0,"A"
"STK1332715","AMMBA007237",16-01-18,6328.98,"A"
"STK1332715","AMMBA007237",16-10-17,6500,"A"
"STK1332715","AMMBA007237",19-06-18,5625.9,"A"
"STK1332715","AMMBA007237",26-02-18,3681.54,"A"
"STK1332715","AMMBA007237",05-04-18,6147.45,"A"
"STK1332715","AMMBA007237",10-05-18,6727.4,"A"
"STK1332715","AMMBA007237",06-08-18,9382.66,"A"
"STK1332715","AMMBA007237",09-08-18,5749.64,"A"
"STK1332715","AMMBA007237",26-09-18,6491.75,"A"
"STK1332715","AMMBA007237",19-07-18,5144.8,"A"
"STK1332715","AMMBA007237",01-11-18,6488.6,"A"
"STK1332715","AMMBA007237",31-12-18,5000,"A"
"STK1332715","AMMBA007237",18-07-19,6500,"A"
"STK1332715","AMMBA007237",17-08-18,6400,"A"
"STK1332715","AMMBA007237",29-04-19,6833.34,"A"
"STK1332715","AMMBA007237",19-11-19,6500,"A"
"STK1332715","AMMBA007237",19-08-19,6100,"A"
"STK1332715","AMMBA007237",19-08-19,6100,"A"
"STK1332715","AMMBA007237",19-08-19,-6100,"A"
"STK1332715","AMMBA007237",22-02-19,0,"A"
"STK1332715","AMMBA007237",12-06-19,6500,"A"
"STK1332715","AMMBA007237",23-01-19,5990.26,"A"
"STK1332715","AMMBA007237",21-03-19,6896.15,"A"
"STK1332715","AMMBA007237",22-05-19,100,"A"
"STK1332715","AMMBA007237",22-05-19,6929.91,"A"
"STK1332715","AMMBA007237",18-10-19,6969.66,"A"
"STK1332715","AMMBA007237",25-09-19,5932.07,"A"
"STK2381986","AMMBA007336",26-04-17,7500,"A"
"STK2381986","AMMBA007336",25-03-17,8000,"A"
"STK2381986","AMMBA007336",29-05-17,10000,"A"
"STK2381986","AMMBA007336",21-09-17,8000,"A"
"STK2381986","AMMBA007336",25-02-17,10000,"A"
"STK2381986","AMMBA007336",25-07-17,10000,"A"
"STK2381986","AMMBA007336",21-11-17,8000,"A"
"STK2381986","AMMBA007336",24-02-18,4323.98,"A"
"STK2381986","AMMBA007336",30-10-17,8000,"A"
"STK2381986","AMMBA007336",31-01-18,5499.46,"A"
"STK2381986","AMMBA007336",23-06-18,12335.54,"A"
"STK2381986","AMMBA007336",14-05-18,9844.57,"A"
"STK1351983","AMMBA007008",14-09-17,4959.6,"A"
"STK1351983","AMMBA007008",04-05-18,9571.78,"A"
"STK1351983","AMMBA007008",11-01-19,1673.77,"A"
"STK1351983","AMMBA007008",05-03-19,8021.56,"A"
"STK2359032","ANMBA008517",25-04-17,10800,"A"
"STK2359032","ANMBA008517",23-06-17,10750,"A"
"STK2359032","ANMBA008517",19-01-17,10800,"A"
"STK2366521","ANMBA008531",15-02-18,9027.72,"A"
"STK2366521","ANMBA008531",25-04-18,7729.29,"A"
"STK2366521","ANMBA008531",20-09-18,13803.95,"A"
"STK2381986","AMMBA007336",08-09-18,35709.95,"A"
"STK2381986","AMMBA007336",04-09-18,9922.5,"A"
"STK1351983","AMMBA007008",06-02-17,7570,"A"
"STK1351983","AMMBA007008",15-03-17,7569.11,"A"
"STK1351983","AMMBA007008",10-07-17,4699.72,"A"
"STK1351983","AMMBA007008",19-07-17,9903.97,"A"
"STK1351983","AMMBA007008",24-04-17,7808.31,"A"
"STK1351983","AMMBA007008",30-05-17,9755.77,"A"
"STK1351983","AMMBA007008",26-12-17,9312.78,"A"
"STK1351983","AMMBA007008",22-08-17,9871.49,"A"
"STK1351983","AMMBA007008",28-11-17,5788.95,"A"
"STK1351983","AMMBA007008",22-02-18,5220.2,"A"
"STK1351983","AMMBA007008",07-11-17,6006.75,"A"
"STK1351983","AMMBA007008",21-05-18,6984.14,"A"
"STK1351983","AMMBA007008",09-03-18,9111.25,"A"
"STK1351983","AMMBA007008",23-07-18,7675.67,"A"
"STK1351983","AMMBA007008",04-07-18,9289.42,"A"
"STK1351983","AMMBA007008",31-12-18,7440.67,"A"
"STK1351983","AMMBA007008",03-09-18,9848.95,"A"
"STK1351983","AMMBA007008",22-10-18,5587.63,"A"
"STK1351983","AMMBA007008",15-08-18,6731.92,"A"
"STK1351983","AMMBA007008",23-11-18,7566.69,"A"
"STK1351983","AMMBA007008",29-07-19,5444.32,"A"
"STK1351983","AMMBA007008",18-03-19,9674.22,"A"
"STK1351983","AMMBA007008",30-11-19,24597.54,"A"
"STK1351983","AMMBA007008",20-09-19,6499.79,"A"
"STK2359032","ANMBA008517",22-03-17,10800,"A"
"STK2359032","ANMBA008517",25-05-17,10750,"A"
"STK2359032","ANMBA008517",20-07-17,11000,"A"
"STK2359032","ANMBA008517",20-09-17,11000,"A"
"STK2359032","ANMBA008517",20-12-17,14600,"A"
"STK2359032","ANMBA008517",23-02-17,10800,"A"
"STK2359032","ANMBA008517",20-12-17,10800,"A"
"STK2359032","ANMBA008517",21-08-17,11000,"A"
"STK2359032","ANMBA008517",17-11-17,10750,"A"
"STK2359032","ANMBA008517",19-10-17,10750,"A"
"STK2359032","ANMBA008517",03-01-18,202466.7,"A"
"STK2366521","ANMBA008531",17-12-19,8954.01,"A"
"STK2366521","ANMBA008531",19-02-20,11070.3,"A"
"STK2366521","ANMBA008531",24-01-20,5603.68,"A"
"STK2366521","ANMBA008531",13-02-17,6126.62,"A"
"STK2366521","ANMBA008531",03-07-17,6114.24,"A"
"STK2366521","ANMBA008531",29-04-17,6184.6,"A"
"STK2366521","ANMBA008531",24-03-17,6037.2,"A"
"STK2366521","ANMBA008531",22-09-17,9959.47,"A"
"STK2366521","ANMBA008531",12-05-17,6134.78,"A"
"STK2366521","ANMBA008531",15-09-17,8213.22,"A"
"STK2366521","ANMBA008531",24-08-17,5774,"A"
"STK2366521","ANMBA008531",21-11-17,6621.16,"A"
"STK2366521","ANMBA008531",19-01-18,5714.71,"A"
"STK2366521","ANMBA008531",29-03-18,0,"A"
"STK2366281","ANMBA008548",23-06-17,6750,"A"
"STK2366281","ANMBA008548",27-02-17,6750,"A"
"STK2366281","ANMBA008548",27-12-17,6752.46,"A"
"STK2366281","ANMBA008548",21-02-18,0,"A"
"STK2366281","ANMBA008548",21-08-18,5094.09,"A"
"STK771492","ANMBA008555",06-02-17,12000,"A"
"STK771492","ANMBA008555",03-04-17,12000,"A"
"STK771492","ANMBA008555",04-10-17,12000,"A"
"STK771492","ANMBA008555",06-03-17,12000,"A"
"STK771492","ANMBA008555",06-06-17,12000,"A"
"STK771492","ANMBA008555",08-08-17,22800,"A"
"STK2367018","ANMBA008562",08-01-18,13185.1,"A"
"STK2367018","ANMBA008562",19-01-18,10410,"A"
"STK2367018","ANMBA008562",08-02-18,0,"A"
"STK2367018","ANMBA008562",05-06-18,5727.04,"A"
"STK2367018","ANMBA008562",06-04-18,6478.48,"A"
"STK2367018","ANMBA008562",05-10-18,6189.23,"A"
"STK2367018","ANMBA008562",18-02-19,0,"A"
"STK2368982","ANMBA008593",02-03-18,0,"A"
"STK2368982","ANMBA008593",10-08-18,6762.17,"A"
"STK2366521","ANMBA008531",13-07-18,14919.69,"A"
"STK2366521","ANMBA008531",10-07-18,6375.65,"A"
"STK2366521","ANMBA008531",29-10-18,2796.23,"A"
"STK2366521","ANMBA008531",19-12-18,8768.82,"A"
"STK2366521","ANMBA008531",21-08-18,3585.19,"A"
"STK2366521","ANMBA008531",30-08-19,4776.1,"A"
